address,SWC-100,SWC-101,SWC-102,SWC-103,SWC-104,SWC-105,SWC-106,SWC-107,SWC-108,SWC-109,SWC-110,SWC-111,SWC-112,SWC-113,SWC-114,SWC-115,SWC-116,SWC-117,SWC-118,SWC-119,SWC-120,SWC-121,SWC-122,SWC-123,SWC-124,SWC-125,SWC-126,SWC-127,SWC-128,SWC-129,SWC-130,SWC-131,SWC-132,SWC-133,SWC-134,SWC-135,SWC-136,solc_version,status,elapsed_sec
0x0000000000ee8cd7fd26236a2e4c1505dac0dce9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,8.909
0x0000000005ea0ea8b890d7140e4b1f864f8005eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.8,ok,15.249
0x00000000e20e49e6dcee6e8283a0c090578f0fb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.29,ok,43.997
0x0000000ce52eff3f940995ac1efc1f0641814e03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.355
0x000004398d2cb12cdaff417c3af786244d4ae597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.131
0x0001c43391e54d3f82b1ae30f4c03a3379cadf32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.19,ok,80.209
0x0011127e66c4cb37d04742af82c71c978de7a3a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.19,ok,5.968
0x001377ec45fa602df05bc499c1f082c197b1c490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,3.396
0x0019d5aa5077ced640bf5935502fa4cf8fe4519b,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.24,partial,186.069
0x001e4c85de0fbf33b2f7c2cef7c08892a1a325d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.19,ok,27.742
0x0028dfe7c1f1f49c88b6f18e304cc24e918dae36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.7,ok,1.776
0x00341aa5871d3968725523050962415921b73b78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.21,ok,153.494
0x003b91af54580e89e589d9fd09509a4f68678bba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,5.802
0x004e24e49b824038e0fd7eaadfdcd4d561c7251b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.284
0x00532ab7ad91b7cea8cccd999287d877729e3aec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,2.537
0x005595b818c91bc99749cff072f91ea64c3b75bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.09
0x005728a3a1e6e346a7c17b43326adb5c715372db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,1.64
0x006a8ebbbf2de3dc69d05060460d15291fb1e813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,1.618
0x006f643a991d7b8558cb58ca9c37832650077744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.28,ok,1.596
0x0073f5bc7b234b59de6f046c8d47e85e11d1f7f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.24,ok,1.622
0x007900054d0557e64f46552a2b5c86f7fc9b88da,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.27,ok,42.749
0x00bf23c6672923b82c082c0bbf974cf4c71f611d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.25,ok,1.572
0x00c0ff516143cdd27353f39d242261dd5f26ab56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.16,ok,4.05
0x00c627e6d26a0fc99018a937df7c922f8b000573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,17.933
0x00c708558b06b3b147fa2784bad842c85cdf06b6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7.6,partial,189.846
0x00ce8583e8a3ff3830d935e4e803f8aa1a4ed90b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,1.675
0x00d2ef046d945b4951d193338b4661f6f93d3544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,3.082
0x0104d07923a131de0c67007cf282665a6e04eec9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.9,ok,2.785
0x0112dc4eb7580465e1dc3d4e80610aa23cde423b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,6.133
0x0118de475d28561e870390fc18ff7273e8c74f2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.24,ok,10.266
0x01342c320ff2014a2f68fd577e734dfedda0a514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,6.777
0x014151fa19acb1c6e9a74ad932d173edd1055654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,142.751
0x014fadeecd55ce66646f142f7bdecf53bc04a2f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,3.352
0x015431b0dd984afc359344d38a598e6b9e16308c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.24,ok,1.633
0x0163106e6ebef24adf827cdfcb7c273294015e0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,4.64
0x0163f17701caf4106bc958c1a50666ad1a282ec7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.28,ok,3.642
0x0169a9346c37e09b5062c8e8e770b4b8c6a0ab7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,3.62
